time;tägliche Erkrankungen
25.02;2
27.02;3
28.02;6
29.02;1
01.03;2
02.03;6
03.03;9
04.03;14
05.03;20
06.03;22
07.03;16
08.03;32
09.03;28
10.03;70
11.03;131
12.03;114
13.03;229
14.03;184
15.03;217
16.03;276
17.03;377
18.03;389
19.03;485
20.03;569
21.03;481
22.03;604
23.03;851
24.03;791
25.03;715
26.03;967
27.03;811
28.03;584
29.03;471
30.03;641
31.03;574
01.04;492
02.04;401
03.04;365
04.04;256
05.04;163
06.04;270
07.04;309
08.04;227
09.04;260
10.04;335
11.04;187
12.04;106
13.04;91
14.04;138
15.04;72
